City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
80,Cabo San Lucas,MX,22.8909,-109.9124,70.52,80,5,5.55,clear sky
81,Cidreira,BR,-30.1811,-50.2056,70.84,78,13,13.15,few clouds
82,Severo-Kurilsk,RU,50.6789,156.125,25.03,68,99,14.18,overcast clouds
83,Nueva Loja,EC,0.0847,-76.8828,69.15,93,98,1.79,overcast clouds
84,Mabaruma,GY,8.2,-59.7833,71.35,99,96,2.3,overcast clouds
85,Puerto Quijarro,BO,-17.7833,-57.7667,74.62,72,72,2.64,broken clouds
86,Husavik,IS,66.0449,-17.3389,36.59,99,100,21.83,overcast clouds
87,Mercedes,AR,-34.6515,-59.4307,72.79,73,0,9.95,clear sky
88,Grindavik,IS,63.8424,-22.4338,32.47,80,100,39.12,overcast clouds
89,Killybegs,IE,54.6333,-8.45,44.47,72,83,26.98,broken clouds
90,Dikson,RU,73.5069,80.5464,-36.06,93,24,9.1,few clouds
91,Chokurdakh,RU,70.6333,147.9167,-16.78,98,100,7.43,overcast clouds
92,Bredasdorp,ZA,-34.5322,20.0403,66.9,86,79,2.77,broken clouds
93,Tiksi,RU,71.6872,128.8694,-30.95,97,100,2.48,overcast clouds
94,Taoudenni,ML,22.6783,-3.9836,55.45,28,74,10.6,broken clouds
95,Torbay,CA,47.6666,-52.7314,28.58,91,100,19.57,light snow
96,Saldanha,ZA,-33.0117,17.9442,57.25,91,9,2.48,clear sky
97,Kruisfontein,ZA,-34.0033,24.7314,71.4,57,2,3.53,clear sky
98,Uyskoye,RU,54.3775,60.0047,-12.96,98,100,2.82,overcast clouds
99,Klaksvik,FO,62.2266,-6.589,43.72,77,92,21.7,overcast clouds
100,Guerrero Negro,MX,27.9769,-114.0611,58.42,74,0,9.4,clear sky
101,Yumen,CN,40.2833,97.2,33.17,22,1,12.73,clear sky
102,Portland,US,45.5234,-122.6762,48.22,94,75,9.22,light rain
103,Dali,CN,25.7,100.1833,59.43,36,0,1.59,clear sky
104,Katangli,RU,51.7102,143.2326,8.06,89,100,5.82,overcast clouds
105,Nemuro,JP,43.3236,145.575,31.89,70,86,9.51,overcast clouds
106,Burns Lake,CA,54.2331,-125.7533,26.02,98,100,1.81,overcast clouds
107,Gamboma,CG,-1.8764,15.8644,72.91,84,98,1.95,overcast clouds
108,Bluff,NZ,-46.6,168.3333,65.07,72,7,3.38,clear sky
109,Esperance,AU,-33.8667,121.9,74.14,55,0,15.32,clear sky
110,Yeppoon,AU,-23.1333,150.7333,92.98,66,61,15.28,broken clouds
111,Boda,CF,4.3189,17.4695,66.99,34,56,3.09,broken clouds
112,Sao Felix Do Xingu,BR,-6.6447,-51.995,70.23,97,100,1.12,overcast clouds
113,Kampene,CD,-3.6,26.6667,66.9,99,99,3.09,overcast clouds
114,Kantunilkin,MX,21.0917,-87.45,68.4,99,8,2.62,clear sky
115,Kaeo,NZ,-35.1,173.7833,71.33,84,100,15.23,overcast clouds
116,Ponta Do Sol,PT,32.6667,-17.1,64.71,79,2,2.53,clear sky
117,Yambio,SS,4.5721,28.3955,67.8,42,65,3.51,broken clouds
118,Burnie,AU,-41.0667,145.9167,73.27,59,15,11.86,few clouds
119,Waipawa,NZ,-41.4122,175.5153,61.23,72,53,10.38,broken clouds
120,Annau,TM,37.8876,58.516,26.1,100,100,4.61,light snow
121,Upernavik,GL,72.7868,-56.1549,-18.08,97,57,7.96,broken clouds
122,Acapulco,MX,16.8634,-99.8901,76.82,83,0,0.0,clear sky
