City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
488,Moindou,NC,78.94,broken clouds,-21.6924,165.677,No hotel found
489,Puerto Escondido,MX,75.22,clear sky,15.85,-97.0667,Hotel Barlovento
490,Sorong,ID,83.82,broken clouds,-0.8833,131.25,Hotel Membramo Marina
491,Tautira,PF,79.95,moderate rain,-17.7333,-149.15,No hotel found
493,Myitkyina,MM,77.59,clear sky,25.3833,97.4,New Light Hotel
495,Axim,GH,78.1,broken clouds,4.8699,-2.2405,Axim Beach Hotel
504,Cairns,AU,87.75,scattered clouds,-16.9167,145.7667,Cairns Queens Court Accommodation
505,Tarakan,ID,81.9,broken clouds,3.3,117.6333,Hotel Dynasty
508,Morondava,MG,80.01,overcast clouds,-20.2833,44.2833,Hotel Sharon Menabe
522,Labuhan,ID,85.68,overcast clouds,-6.8844,112.2051,No hotel found
525,Fare,PF,81.34,overcast clouds,-16.7,-151.0167,hôtel Maitai Lapita Village
528,Angoche,MZ,77.67,overcast clouds,-16.2325,39.9086,Hotel Quirimbas
535,Dhidhdhoo,MV,81.36,clear sky,6.8833,73.1,No hotel found
553,Tual,ID,81.14,overcast clouds,-5.6667,132.75,Suita
561,Formosa,AR,75.18,clear sky,-26.1775,-58.1781,Hotel Hostal del Rey
565,Kingston,JM,77.95,few clouds,17.997,-76.7936,Aphrodite Hotel
569,Piacabucu,BR,75.52,scattered clouds,-10.4056,-36.4344,O Leão
572,Tadine,NC,82.31,broken clouds,-21.55,167.8833,No hotel found
584,Wanaka,NZ,80.38,clear sky,-44.7,169.15,No hotel found
589,La Asuncion,VE,75.22,broken clouds,11.0333,-63.8628,Hotel La Ciudad
590,Kahului,US,75.85,few clouds,20.8947,-156.47,Maui Seaside Hotel
592,Pathein,MM,86.2,clear sky,16.7833,94.7333,Taan Taan Ta
598,Kendari,ID,81.28,overcast clouds,-3.945,122.4989,City Hotel Kendari
603,Port Moresby,PG,89.02,haze,-9.4431,147.1797,The Sanctuary Hotel and Spa
607,Pitimbu,BR,75.79,overcast clouds,-7.4706,-34.8086,Pousada Brisa Mar
610,Oussouye,SN,75.38,overcast clouds,12.485,-16.5469,Campement Alulum
611,Alyangula,AU,86.25,scattered clouds,-13.8483,136.4192,No hotel found
616,Isla Mujeres,MX,75.16,clear sky,21.2311,-86.731,Villa La Bella
638,Kulhudhuffushi,MV,80.91,clear sky,6.6221,73.07,No hotel found
658,Kavieng,PG,84.2,broken clouds,-2.5744,150.7967,Kavieng Hotel
661,Lantawan,PH,78.49,light rain,10.6167,123.9833,No hotel found
665,Martapura,ID,86.09,scattered clouds,-3.4167,114.85,Q-Hotel Grand Dafam
